x y pred
-0.2000 -0.2000 -0.3049
-0.1500 -0.2000 -0.2719
-0.1000 -0.2000 -0.2341
-0.0500 -0.2000 -0.1914
-0.0000 -0.2000 -0.1440
0.0500 -0.2000 -0.0922
0.1000 -0.2000 -0.0362
0.1500 -0.2000 0.0235
0.2000 -0.2000 0.0864
0.2500 -0.2000 0.1522
0.3000 -0.2000 0.2201
0.3500 -0.2000 0.2895
0.4000 -0.2000 0.3599
0.4500 -0.2000 0.4305
0.5000 -0.2000 0.5007
0.5500 -0.2000 0.5696
0.6000 -0.2000 0.6367
0.6500 -0.2000 0.7011
0.7000 -0.2000 0.7624
0.7500 -0.2000 0.8197
0.8000 -0.2000 0.8727
0.8500 -0.2000 0.9207
0.9000 -0.2000 0.9634
0.9500 -0.2000 1.0004
1.0000 -0.2000 1.0313
1.0500 -0.2000 1.0561
1.1000 -0.2000 1.0745
1.1500 -0.2000 1.0866
1.2000 -0.2000 1.0924
-0.2000 -0.1500 -0.2719
-0.1500 -0.1500 -0.2391
-0.1000 -0.1500 -0.2015
-0.0500 -0.1500 -0.1592
-0.0000 -0.1500 -0.1124
0.0500 -0.1500 -0.0614
0.1000 -0.1500 -0.0064
0.1500 -0.1500 0.0522
0.2000 -0.1500 0.1138
0.2500 -0.1500 0.1781
0.3000 -0.1500 0.2445
0.3500 -0.1500 0.3123
0.4000 -0.1500 0.3809
0.4500 -0.1500 0.4497
0.5000 -0.1500 0.5179
0.5500 -0.1500 0.5849
0.6000 -0.1500 0.6500
0.6500 -0.1500 0.7125
0.7000 -0.1500 0.7718
0.7500 -0.1500 0.8272
0.8000 -0.1500 0.8783
0.8500 -0.1500 0.9245
0.9000 -0.1500 0.9655
0.9500 -0.1500 1.0009
1.0000 -0.1500 1.0303
1.0500 -0.1500 1.0537
1.1000 -0.1500 1.0709
1.1500 -0.1500 1.0818
1.2000 -0.1500 1.0866
-0.2000 -0.1000 -0.2341
-0.1500 -0.1000 -0.2015
-0.1000 -0.1000 -0.1643
-0.0500 -0.1000 -0.1227
-0.0000 -0.1000 -0.0769
0.0500 -0.1000 -0.0270
0.1000 -0.1000 0.0267
0.1500 -0.1000 0.0837
0.2000 -0.1000 0.1436
0.2500 -0.1000 0.2060
0.3000 -0.1000 0.2703
0.3500 -0.1000 0.3359
0.4000 -0.1000 0.4022
0.4500 -0.1000 0.4685
0.5000 -0.1000 0.5343
0.5500 -0.1000 0.5988
0.6000 -0.1000 0.6613
0.6500 -0.1000 0.7213
0.7000 -0.1000 0.7781
0.7500 -0.1000 0.8312
0.8000 -0.1000 0.8799
0.8500 -0.1000 0.9239
0.9000 -0.1000 0.9628
0.9500 -0.1000 0.9962
1.0000 -0.1000 1.0238
1.0500 -0.1000 1.0455
1.1000 -0.1000 1.0612
1.1500 -0.1000 1.0709
1.2000 -0.1000 1.0745
-0.2000 -0.0500 -0.1914
-0.1500 -0.0500 -0.1592
-0.1000 -0.0500 -0.1227
-0.0500 -0.0500 -0.0821
-0.0000 -0.0500 -0.0375
0.0500 -0.0500 0.0109
0.1000 -0.0500 0.0628
0.1500 -0.0500 0.1178
0.2000 -0.0500 0.1756
0.2500 -0.0500 0.2356
0.3000 -0.0500 0.2973
0.3500 -0.0500 0.3601
0.4000 -0.0500 0.4236
0.4500 -0.0500 0.4870
0.5000 -0.0500 0.5497
0.5500 -0.0500 0.6112
0.6000 -0.0500 0.6706
0.6500 -0.0500 0.7276
0.7000 -0.0500 0.7814
