x y
0.499501 -0.200000
0.486877 -0.150000
nan nan
0.486877 -0.150000
0.473936 -0.100000
nan nan
0.473936 -0.100000
0.460367 -0.050000
nan nan
0.450000 -0.013889
0.445826 0.000000
nan nan
0.460367 -0.050000
0.450000 -0.013889
nan nan
0.445826 0.000000
0.430018 0.050000
nan nan
0.430018 0.050000
0.411988 0.100000
nan nan
0.400000 0.129426
0.390832 0.150000
nan nan
0.411988 0.100000
0.400000 0.129426
nan nan
0.390832 0.150000
0.365060 0.200000
nan nan
0.350000 0.224510
0.332143 0.250000
nan nan
0.365060 0.200000
0.350000 0.224510
nan nan
0.300000 0.287864
0.287864 0.300000
nan nan
0.332143 0.250000
0.300000 0.287864
nan nan
0.250000 0.332143
0.224510 0.350000
nan nan
0.287864 0.300000
0.250000 0.332143
nan nan
0.150000 0.390832
0.129426 0.400000
nan nan
0.200000 0.365060
0.150000 0.390832
nan nan
0.224510 0.350000
0.200000 0.365060
nan nan
0.000000 0.445826
-0.013889 0.450000
nan nan
0.050000 0.430018
0.000000 0.445826
nan nan
0.100000 0.411988
0.050000 0.430018
nan nan
0.129426 0.400000
0.100000 0.411988
nan nan
-0.150000 0.486877
-0.200000 0.499501
nan nan
-0.100000 0.473936
-0.150000 0.486877
nan nan
-0.050000 0.460367
-0.100000 0.473936
nan nan
-0.013889 0.450000
-0.050000 0.460367
nan nan
1.013889 0.550000
1.050000 0.539633
nan nan
1.050000 0.539633
1.100000 0.526064
nan nan
1.100000 0.526064
1.150000 0.513123
nan nan
1.150000 0.513123
1.200000 0.500499
nan nan
0.870574 0.600000
0.900000 0.588012
nan nan
0.900000 0.588012
0.950000 0.569982
nan nan
0.950000 0.569982
1.000000 0.554174
nan nan
1.000000 0.554174
1.013889 0.550000
nan nan
0.775490 0.650000
0.800000 0.634940
nan nan
0.800000 0.634940
0.850000 0.609168
nan nan
0.850000 0.609168
0.870574 0.600000
nan nan
0.712136 0.700000
0.750000 0.667857
nan nan
0.750000 0.667857
0.775490 0.650000
nan nan
0.667857 0.750000
0.700000 0.712136
nan nan
0.700000 0.712136
0.712136 0.700000
nan nan
0.634940 0.800000
0.650000 0.775490
nan nan
0.650000 0.775490
0.667857 0.750000
nan nan
0.609168 0.850000
0.634940 0.800000
nan nan
0.588012 0.900000
0.600000 0.870574
nan nan
0.600000 0.870574
0.609168 0.850000
nan nan
0.569982 0.950000
0.588012 0.900000
nan nan
0.554174 1.000000
0.569982 0.950000
nan nan
0.539633 1.050000
0.550000 1.013889
nan nan
0.550000 1.013889
0.554174 1.000000
nan nan
0.526064 1.100000
0.539633 1.050000
nan nan
0.513123 1.150000
0.526064 1.100000
nan nan
0.500499 1.200000
0.513123 1.150000
nan nan
