x y
0.750000 -0.154617
0.746946 -0.150000
nan nan
0.750000 -0.154617
0.784579 -0.200000
nan nan
0.746946 -0.150000
0.723144 -0.100000
nan nan
0.723144 -0.100000
0.709963 -0.050000
nan nan
0.709963 -0.050000
0.705741 -0.000000
nan nan
0.705741 -0.000000
0.709959 0.050000
nan nan
0.709959 0.050000
0.723133 0.100000
nan nan
0.723133 0.100000
0.746929 0.150000
nan nan
0.746929 0.150000
0.750000 0.154644
nan nan
0.750000 0.154644
0.784555 0.200000
nan nan
0.784555 0.200000
0.800000 0.215445
nan nan
0.800000 0.215445
0.845356 0.250000
nan nan
1.200000 0.215421
1.154617 0.250000
nan nan
0.845356 0.250000
0.850000 0.253071
nan nan
0.850000 0.253071
0.900000 0.276867
nan nan
0.900000 0.276867
0.950000 0.290041
nan nan
0.950000 0.290041
1.000000 0.294259
nan nan
1.000000 0.294259
1.050000 0.290037
nan nan
1.050000 0.290037
1.100000 0.276856
nan nan
1.100000 0.276856
1.150000 0.253054
nan nan
1.150000 0.253054
1.154617 0.250000
nan nan
-0.150000 0.746946
-0.154617 0.750000
nan nan
-0.150000 0.746946
-0.100000 0.723144
nan nan
-0.100000 0.723144
-0.050000 0.709963
nan nan
-0.050000 0.709963
-0.000000 0.705741
nan nan
-0.000000 0.705741
0.050000 0.709959
nan nan
0.050000 0.709959
0.100000 0.723133
nan nan
0.100000 0.723133
0.150000 0.746929
nan nan
0.150000 0.746929
0.154644 0.750000
nan nan
-0.200000 0.784579
-0.154617 0.750000
nan nan
0.154644 0.750000
0.200000 0.784555
nan nan
0.200000 0.784555
0.215445 0.800000
nan nan
0.215445 0.800000
0.250000 0.845356
nan nan
0.250000 0.845356
0.253071 0.850000
nan nan
0.253071 0.850000
0.276867 0.900000
nan nan
0.276867 0.900000
0.290041 0.950000
nan nan
0.290041 0.950000
0.294259 1.000000
nan nan
0.294259 1.000000
0.290037 1.050000
nan nan
0.290037 1.050000
0.276856 1.100000
nan nan
0.276856 1.100000
0.253054 1.150000
nan nan
0.250000 1.154617
0.215421 1.200000
nan nan
0.250000 1.154617
0.253054 1.150000
nan nan
